Book_Id,Title,Author,Author_l-f,Additional_Authors,ISBN,ISBN13,My_Rating,Average_Rating,Publisher,Binding,Number_of_Pages,Year_Published,Original_Publication_Year,Date_Read,Date_Added,Bookshelves,Bookshelves_with_positions,Exclusive_Shelf,My_Review,Spoiler,Private_Notes,Read_Count,Recommended_For,Recommended_By,Owned_Copies,Original_Purchase_Date,Original_Purchase_Location,Condition,Condition_Description,BCID
41795733,Range: Why Generalists Triumph in a Specialized World,David   Epstein,"Epstein, David",,735214484,9780735214484,5,4.17,Riverhead Books,Hardcover,352,2019,2019,7/3/19,5/28/19,might,might (#32),read,,,,1,,,0,,,,,
39863447,"Loonshots: How to Nurture the Crazy Ideas That Win Wars, Cure Diseases, and Transform Industries",Safi Bahcall,"Bahcall, Safi",,1250185963,9781250185969,0,4.1,St. Martin's Press,Hardcover,368,2019,2019,,6/28/19,"to-read, might","to-read (#68), might (#34)",to-read,,,,0,,,0,,,,,
94560,The Birth of Plenty: How the Prosperity of the Modern World Was Created,William J. Bernstein,"Bernstein, William J.",,71421920,9780071421928,0,4.18,McGraw-Hill,Hardcover,420,2004,2004,,4/28/19,currently-reading,currently-reading (#5),currently-reading,,,,1,,,0,,,,,
36556202,The Coddling of the American Mind: How Good Intentions and Bad Ideas Are Setting Up a Generation for Failure,Jonathan Haidt,"Haidt, Jonathan",Greg Lukianoff,,,3,4.25,Penguin Books,Kindle Edition,352,2018,2018,6/12/19,6/2/19,,,read,"A bit snacky. I believed in most of the core ideas in the book before reading itself, so confirmed some of my biases. The author believes in anti-fragility, but still prescribes heave handed. Also, sometimes the tone is too blamy. Could have been shorter. Its fun to see some of these things in Indian context. ",,,1,,,0,,,,,
16171221,The Sports Gene: Inside the Science of Extraordinary Athletic Performance,David   Epstein,"Epstein, David",,1591845114,9781591845119,0,4.19,Current,Hardcover,338,2013,2013,,6/10/19,"to-read, might","to-read (#67), might (#33)",to-read,,,,0,,,0,,,,,
44735,The Elements of Typographic Style,Robert Bringhurst,"Bringhurst, Robert",,881792063,9780881792065,0,4.25,Hartley & Marks Publishers,Paperback,352,2004,1992,,5/25/19,to-read,to-read (#66),to-read,,,,0,,,0,,,,,
17307317,Money: The Unauthorised Biography,Felix Martin,"Martin, Felix",,1847922333,9781847922335,0,3.82,Bodley Head,Hardcover,336,2013,2013,,5/25/19,to-read,to-read (#65),to-read,,,,0,,,0,,,,,
37424706,The Art of Gathering: How We Meet and Why It Matters,Priya Parker,"Parker, Priya",,1594634920,9781594634925,0,3.98,Riverhead Books,Hardcover,320,2018,2018,,5/23/19,to-read,to-read (#64),to-read,,,,0,,,0,,,,,
503150,Letters to a Young Contrarian,Christopher Hitchens,"Hitchens, Christopher",,465030335,9780465030330,0,4.14,Basic Books,Paperback,141,2005,2001,5/22/19,3/3/19,,,read,,,,1,,,0,,,,,
40642458,The Second Mountain,David  Brooks,"Brooks, David",,812993268,9780812993264,4,3.74,Random House,Hardcover,384,2019,2019,5/18/19,4/29/19,,,read,Love/hate. Accurate diagnosis of the problem. Loved the description of vocation and how it feels. Didn’t “get” religious part of it. ,,,1,,,0,,,,,
5986375,"This Is Water: Some Thoughts, Delivered on a Significant Occasion, about Living a Compassionate Life",David Foster Wallace,"Wallace, David Foster",,316068225,9780316068222,0,4.51,"Little, Brown and Company",Hardcover,138,2009,2009,,5/8/19,,,read,,,,1,,,0,,,,,
30556551,Nobody Wants to Read Your Sh*t: Why That Is And What You Can Do About It,Steven Pressfield,"Pressfield, Steven",Shawn Coyne,,,0,4.2,Black Irish Entertainment LLC,Kindle Edition,191,2016,2016,,5/5/19,to-read,to-read (#63),to-read,,,,0,,,0,,,,,
14498698,The Dimensions of Experience,Andrew P. Smith,"Smith, Andrew P.",,1436370825,9781436370820,0,3,Xlibris,Paperback,504,2009,2009,,5/4/19,"might, to-read","might (#31), to-read (#62)",to-read,,,,0,,,0,,,,,
31555,Phantoms in the Brain: Probing the Mysteries of the Human Mind,V.S. Ramachandran,"Ramachandran, V.S.","Sandra Blakeslee, Oliver Sacks",688172172,9780688172176,0,4.26,William Morrow Paperbacks,Paperback,352,1999,1998,,4/28/19,"to-read, might","to-read (#61), might (#30)",to-read,,,,0,,,0,,,,,
306940,Impro: Improvisation and the Theatre,Keith Johnstone,"Johnstone, Keith",Irving Wardle,878301178,9780878301171,0,4.25,Routledge,Paperback,208,1987,1979,,4/28/19,to-read,to-read (#60),to-read,,,,0,,,0,,,,,
7170627,The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,"Mukherjee, Siddhartha",,,,0,4.28,Scribner,Hardcover,571,2010,2010,,5/26/18,currently-reading,currently-reading (#4),currently-reading,,,,1,,,0,,,,,
